"gene","start","end"
"PF3D7_0112300",473739,475887
"PF3D7_0112400",475888,476286
"PF3D7_0112500",476287,476428
"PF3D7_0112600",476429,477278
"PF3D7_0112700",477279,481382
"PF3D7_0112800",481231,483218
"PF3D7_0112900",483603,487841
"PF3D7_0113000",487239,490901
"PF3D7_0113100",494941,500347
"PF3D7_0113200",500888,503795
"PF3D7_0113300",504339,507459
"PF3D7_0113400",507977,510158
"PF3D7_0113600",512086,517855
"PF3D7_0113700",519766,523106
"PF3D7_0113800",526530,536562
"PF3D7_0113900",536783,538156
"PF3D7_0114000",541805,547544
"PF3D7_0114100",547245,548669
"PF3D7_0114200",550576,551713
"PF3D7_0114300",552640,553797
"PF3D7_0114500",557700,558946
"PF3D7_0114600",560474,561534
"PF3D7_0114700",563703,564842
"PF3D7_0114750",566515,566691
"PF3D7_0114800",569485,570272
"PF3D7_0114900",572135,572853
"PF3D7_0115000",577704,583789
"PF3D7_0115050",584722,584867
"PF3D7_0115100",587391,588394
"PF3D7_0115150",589386,589994
"PF3D7_0201400",69088,69771
"PF3D7_0201500",72155,76714
"PF3D7_0201600",76725,79448
"PF3D7_0201700",80851,84937
"PF3D7_0201800",86183,89482
"PF3D7_0201900",90205,100157
"PF3D7_0202000",102137,106662
"PF3D7_0202100",108217,111658
"PF3D7_0202200",111818,115064
"PF3D7_0202300",117033,118455
"PF3D7_0202400",118835,125090
"PF3D7_0202500",127203,129089
"PF3D7_0202600",129336,134329
"PF3D7_0202700",134779,137615
"PF3D7_0202800",137155,141252
"PF3D7_0202900",138621,141266
"PF3D7_0203000",141269,148515
"PF3D7_0203100",148914,157296
"PF3D7_0203200",157937,159891
"PF3D7_0203300",160393,161450
"PF3D7_0203400",162065,162900
"PF3D7_0203500",164269,164340
"PF3D7_0203600",166144,168051
"PF3D7_0203700",168580,170767
"PF3D7_0203800",171277,175196
"PF3D7_0203900",176567,178300
"PF3D7_0204000",178955,181526
"PF3D7_0204100",181749,189877
"PF3D7_0204200",192755,194248
"PF3D7_0204300",194272,197151
"PF3D7_0204400",197219,198043
"PF3D7_0204500",198353,199570
"PF3D7_0204600",199889,204454
"PF3D7_0204700",205889,207403
"PF3D7_0204800",209149,211029
"PF3D7_0204900",211067,212635
"PF3D7_0205000",212672,214714
"PF3D7_0205100",214838,217348
"PF3D7_0205200",217882,218907
"PF3D7_0205300",219690,222256
"PF3D7_0205400",222883,225455
"PF3D7_0205500",225212,226438
"PF3D7_0205600",227756,230583
"PF3D7_0205700",231141,232529
"PF3D7_0205800",232729,233476
"PF3D7_0205900",234461,239124
"PF3D7_0206000",239146,244604
"PF3D7_0206100",244645,248513
"PF3D7_0206200",248880,251521
"PF3D7_0206300",252394,262443
"PF3D7_0206500",262727,268003
"PF3D7_0206600",268187,270646
"PF3D7_0206700",271374,274711
"PF3D7_0206800",273689,274507
"PF3D7_0206900",275540,276577
"PF3D7_0207000",276725,279258
"PF3D7_0207100",281275,287696
"PF3D7_0207200",287423,288941
"PF3D7_0207300",290168,292703
"PF3D7_0207400",293896,297980
"PF3D7_0207500",298380,302820
"PF3D7_0207600",303409,307376
"PF3D7_0207700",308628,312348
"PF3D7_0207800",312990,316944
"PF3D7_0207900",317422,321552
"PF3D7_0208000",322329,326390
"PF3D7_0208100",327442,335433
"PF3D7_0208200",335421,337000
"PF3D7_0208300",337310,343223
"PF3D7_0208400",343308,349340
"PF3D7_0208500",351650,354043
"PF3D7_0208600",354341,356448
"PF3D7_0208700",356196,358035
"PF3D7_0208800",358084,360086
"PF3D7_0208900",360828,368354
"PF3D7_0209000",369351,380156
"PF3D7_0209100",380935,384245
"PF3D7_0209200",384529,386885
"PF3D7_0209300",386930,388236
"PF3D7_0209400",388424,390611
"PF3D7_0209500",391238,392887
"PF3D7_0209600",393969,399286
"PF3D7_0209700",400078,402755
"PF3D7_0209800",403095,406706
"PF3D7_0209900",407900,408438
"PF3D7_0210000",409983,410228
"PF3D7_0210100",412275,412859
"PF3D7_0210200",412948,421861
"PF3D7_0210300",422574,425116
"PF3D7_0210400",425599,427108
"PF3D7_0210500",427161,431611
"PF3D7_0210600",431716,434231
"PF3D7_0210700",435985,437173
"PF3D7_0210800",437342,439708
"PF3D7_0210900",441381,443570
"PF3D7_0211000",443824,444608
"PF3D7_0211100",451526,455367
"PF3D7_0211200",455265,456900
"PF3D7_0211300",456907,458616
"PF3D7_0211400",458932,461640
"PF3D7_0211500",463147,467352
"PF3D7_0211600",467847,468476
"PF3D7_0211700",469408,474167
"PF3D7_0211800",475109,477618
"PF3D7_0211900",477189,479816
"PF3D7_0212000",479683,481854
"PF3D7_0212100",483322,489702
"PF3D7_0212200",489203,491256
"PF3D7_0212300",491640,495105
"PF3D7_0212400",494337,507898
"PF3D7_0212500",508665,521769
"PF3D7_0212600",522339,524405
"PF3D7_0212700",524470,526067
"PF3D7_0212800",526387,531923
"PF3D7_0212900",532001,534657
"PF3D7_0213000",534659,536945
"PF3D7_0213100",537390,540199
"PF3D7_0213200",540409,540969
"PF3D7_0213300",541086,541548
"PF3D7_0213400",541811,543807
"PF3D7_0213500",543700,546217
"PF3D7_0213600",546482,555294
"PF3D7_0213700",556774,558250
"PF3D7_0213800",558585,560594
"PF3D7_0213900",560872,565395
"PF3D7_0214000",566121,567894
"PF3D7_0214100",568246,573893
"PF3D7_0214200",574898,576521
"PF3D7_0214300",577433,586702
"PF3D7_0214400",586717,589640
"PF3D7_0214500",590110,591752
"PF3D7_0214600",593374,600035
"PF3D7_0214700",599425,601740
"PF3D7_0214800",603261,609873
"PF3D7_0214900",609924,616306
"PF3D7_0215000",615813,621692
"PF3D7_0215100",622029,624953
"PF3D7_0215200",626976,627710
"PF3D7_0215300",628091,632681
"PF3D7_0215400",634417,639395
"PF3D7_0215500",639847,643411
"PF3D7_0215600",642807,644902
"PF3D7_0215700",645368,650460
"PF3D7_0215800",650472,653693
"PF3D7_0215900",654918,656840
"PF3D7_0216000",657770,664734
"PF3D7_0216100",664984,668532
"PF3D7_0216200",668985,669841
"PF3D7_0216300",670210,675095
"PF3D7_0216400",675368,678010
"PF3D7_0216500",678050,685025
"PF3D7_0216600",685475,689382
"PF3D7_0216700",690311,695783
"PF3D7_0216800",695848,699564
"PF3D7_0216900",701245,702894
"PF3D7_0217000",703060,706862
"PF3D7_0217100",707738,709393
"PF3D7_0217200",709474,715607
"PF3D7_0217300",715609,717140
"PF3D7_0217400",717227,719177
"PF3D7_0217500",719266,723617
"PF3D7_0217600",723183,730639
"PF3D7_0217700",731101,733231
"PF3D7_0217800",734272,734595
"PF3D7_0217900",734887,738046
"PF3D7_0218000",738216,740285
"PF3D7_0218100",740884,742775
"PF3D7_0218200",742842,746913
"PF3D7_0218300",747303,749586
"PF3D7_0218400",749749,751772
"PF3D7_0218500",752966,753439
"PF3D7_0218600",755057,763428
"PF3D7_0218700",762841,765517
"PF3D7_0218800",766390,767015
"PF3D7_0218900",767584,767743
"PF3D7_0219000",767977,768058
"PF3D7_0219100",769194,771126
"PF3D7_0219200",771928,773349
"PF3D7_0219300",773171,774191
"PF3D7_0219400",774447,776838
"PF3D7_0219500",776418,778478
"PF3D7_0219600",778816,782444
"PF3D7_0219700",783271,784917
"PF3D7_0219800",786870,787940
"PF3D7_0219900",790390,792432
"PF3D7_0220000",794978,801981
"PF3D7_0220100",803384,807811
"PF3D7_0220200",809073,812695
"PF3D7_0220300",812892,815853
"PF3D7_0220400",820429,822541
"PF3D7_0220500",823293,825588
"PF3D7_0220600",830123,833035
"PF3D7_0220700",833056,834963
"PF3D7_0220800",838594,844668
"PF3D7_0220900",845600,846375
"PF3D7_0221000",848092,849119
"PF3D7_0221100",851052,851962
"PF3D7_0221200",853607,856315
"PF3D7_0221300",857567,858675
"PF3D7_0221400",860466,861504
"PF3D7_0221500",863079,863842
"PF3D7_0221600",865916,866538
"PF3D7_0221650",866843,867511
"PF3D7_0221700",868884,871778
"PF3D7_0221800",871835,873795
"PF3D7_0221900",873917,875178
"PF3D7_0222000",876984,877832
"PF3D7_0222100",878211,879540
"PF3D7_0300800",64572,65783
"PF3D7_0300900",67870,68761
"PF3D7_0301000",69460,71919
"PF3D7_0301100",76494,77474
"PF3D7_0301200",78154,81283
"PF3D7_0301300",81939,84290
"PF3D7_0301400",85289,86678
"PF3D7_0301500",87480,90921
"PF3D7_0301600",91001,94089
"PF3D7_0301700",95216,99115
"PF3D7_0301800",103118,105748
"PF3D7_0301900",105433,107500
"PF3D7_0302000",107622,110309
"PF3D7_0302100",112158,118863
"PF3D7_0302200",119098,124924
"PF3D7_0302300",125687,130112
"PF3D7_0302400",132332,133502
"PF3D7_0302500",134486,141185
"PF3D7_0302600",141335,146155
"PF3D7_0302700",146052,147270
"PF3D7_0302800",147724,150348
"PF3D7_0302900",151935,158150
"PF3D7_0303000",159315,161740
"PF3D7_0303100",161748,168348
"PF3D7_0303200",168679,174837
"PF3D7_0303300",174382,176798
"PF3D7_0303400",177446,181753
"PF3D7_0303500",182267,189424
"PF3D7_0303600",189682,190816
"PF3D7_0303700",191245,192591
"PF3D7_0303800",193499,196492
"PF3D7_0303900",196570,197438
"PF3D7_0304000",198542,201584
"PF3D7_0304100",203251,206328
"PF3D7_0304200",206611,208959
"PF3D7_0304300",211970,217021
"PF3D7_0304400",217059,218992
"PF3D7_0304500",219117,219872
"PF3D7_0304600",221112,223145
"PF3D7_0304700",224160,225793
"PF3D7_0304800",226915,231648
"PF3D7_0304900",231447,232745
"PF3D7_0305000",233621,235461
"PF3D7_0305100",236334,248270
"PF3D7_0305200",250163,255153
"PF3D7_0305300",255187,259495
"PF3D7_0305400",259959,261372
"PF3D7_0305500",261400,274210
"PF3D7_0305600",274618,277999
"PF3D7_0305700",278771,280588
"PF3D7_0305800",281916,285260
"PF3D7_0305900",285291,286154
"PF3D7_0306000",286241,287345
"PF3D7_0306100",287946,291323
"PF3D7_0306200",291924,295013
"PF3D7_0306300",294566,297773
"PF3D7_0306400",297490,300880
"PF3D7_0306500",300489,302223
"PF3D7_0306600",302501,303423
"PF3D7_0306700",303434,305619
"PF3D7_0306800",305320,308017
"PF3D7_0306900",309572,312482
"PF3D7_0307000",311223,311382
"PF3D7_0307100",312534,313923
"PF3D7_0307200",314714,316835
"PF3D7_0307300",318804,320336
"PF3D7_0307400",320628,322215
"PF3D7_0307500",322589,325397
"PF3D7_0307600",325654,328649
"PF3D7_0307700",328477,336120
"PF3D7_0307800",336191,339907
"PF3D7_0307900",339591,352137
"PF3D7_0308000",353058,355573
"PF3D7_0308100",355867,361936
"PF3D7_0308200",362342,364233
"PF3D7_0308300",365177,366948
"PF3D7_0308400",368572,368690
"PF3D7_0308500",369925,370789
"PF3D7_0308600",371933,374911
"PF3D7_0308700",375806,377437
"PF3D7_0308800",378045,378517
"PF3D7_0308900",378896,383721
"PF3D7_0309000",383878,387313
"PF3D7_0309100",386977,388473
"PF3D7_0309200",388943,396419
"PF3D7_0309300",397397,401232
"PF3D7_0309400",401458,401576
"PF3D7_0309500",401933,405904
"PF3D7_0309600",406534,408869
"PF3D7_0309700",409102,410928
"PF3D7_0309800",411588,414117
"PF3D7_0309900",414206,419975
"PF3D7_0310000",420417,421877
"PF3D7_0310100",422379,424680
"PF3D7_0310200",426151,441005
"PF3D7_0310300",441760,447410
"PF3D7_0310400",447468,451552
"PF3D7_0310500",451792,459726
"PF3D7_0310600",460848,462532
"PF3D7_0310700",462750,464274
"PF3D7_0310800",464662,465196
"PF3D7_0310900",465745,468445
"PF3D7_0311000",469287,470118
"PF3D7_0311100",470535,473161
"PF3D7_0311200",474788,479086
"PF3D7_0311300",480122,483453
"PF3D7_0311400",488804,496510
"PF3D7_0311500",497118,497363
"PF3D7_0311600",499602,502353
"PF3D7_0311700",502698,505848
"PF3D7_0311800",506275,509040
"PF3D7_0311900",509155,512024
"PF3D7_0312000",511923,513009
"PF3D7_0312100",513105,516915
"PF3D7_0312200",516480,520555
"PF3D7_0312300",521939,523113
"PF3D7_0312400",523023,528087
"PF3D7_0312500",528316,531025
"PF3D7_0312600",531213,531289
"PF3D7_0312700",531898,531973
"PF3D7_0312800",533606,535480
"PF3D7_0312900",536043,537274
"PF3D7_0313000",537621,538804
"PF3D7_0313100",539743,542810
"PF3D7_0313200",543241,543942
"PF3D7_0313300",544055,545194
"PF3D7_0313400",545828,548182
"PF3D7_0313500",548718,551453
"PF3D7_0313600",552001,554621
"PF3D7_0313700",555035,558684
"PF3D7_0313800",559334,562253
"PF3D7_0313900",562366,565656
"PF3D7_0314000",567247,568850
"PF3D7_0314100",569308,571051
"PF3D7_0314200",572666,576823
"PF3D7_0314300",577008,578366
"PF3D7_0314400",579539,580465
"PF3D7_0314500",584226,585168
"PF3D7_0314600",586555,587331
"PF3D7_0314700",589002,592547
"PF3D7_0314800",604595,607931
"PF3D7_0314900",608883,610718
"PF3D7_0315000",611334,612014
"PF3D7_0315100",612739,613422
"PF3D7_0315200",616472,622816
"PF3D7_0315300",623446,630360
"PF3D7_0315400",630611,631381
"PF3D7_0315500",632846,633544
"PF3D7_0315600",635586,637462
"PF3D7_0315700",638283,641306
"PF3D7_0315800",641482,642579
"PF3D7_0315900",644186,645268
"PF3D7_0316000",645921,646844
"PF3D7_0316100",648635,649531
"PF3D7_0316200",649849,657247
"PF3D7_0316300",658272,661643
"PF3D7_0316400",662126,665152
"PF3D7_0316500",667006,668391
"PF3D7_0316600",669302,670873
"PF3D7_0316700",674458,675636
"PF3D7_0316800",677842,678474
"PF3D7_0316900",679234,681277
"PF3D7_0317000",682795,683685
"PF3D7_0317100",686282,689482
"PF3D7_0317200",690154,694815
"PF3D7_0317300",699544,709728
"PF3D7_0317400",712253,714082
"PF3D7_0317500",716523,721831
"PF3D7_0317600",725015,726130
"PF3D7_0317700",728259,738076
"PF3D7_0317800",738205,738882
"PF3D7_0317900",739428,741733
"PF3D7_0318000",742191,742799
"PF3D7_0318100",743929,745053
"PF3D7_0318200",748465,755838
"PF3D7_0318300",756491,760292
"PF3D7_0318400",761693,765439
"PF3D7_0318500",767815,782760
"PF3D7_0318600",783112,786165
"PF3D7_0318700",788453,788812
"PF3D7_0318800",789858,791308
"PF3D7_0318900",791840,793481
"PF3D7_0319000",795577,801171
"PF3D7_0319100",802260,802583
"PF3D7_0319200",803592,806312
"PF3D7_0319300",807277,807859
"PF3D7_0319400",810081,814172
"PF3D7_0319500",815569,816855
"PF3D7_0319600",817913,818695
"PF3D7_0319700",820708,830802
"PF3D7_0319800",831076,832509
"PF3D7_0319900",833833,834777
"PF3D7_0320000",837307,838271
"PF3D7_0320100",840362,841758
"PF3D7_0320200",842539,844290
"PF3D7_0320300",845713,847320
"PF3D7_0320400",848247,857504
"PF3D7_0320500",860813,862102
"PF3D7_0320600",862741,863832
"PF3D7_0320700",865014,866420
"PF3D7_0320800",870817,872342
"PF3D7_0320900",875213,876295
"PF3D7_0321000",877735,879511
"PF3D7_0321100",879959,885493
"PF3D7_0321200",886962,888976
"PF3D7_0321300",890014,892764
"PF3D7_0321400",894761,896112
"PF3D7_0321500",896546,899770
"PF3D7_0321600",900857,903369
"PF3D7_0321700",903764,910118
"PF3D7_0321800",912916,921036
"PF3D7_0321900",922974,927942
"PF3D7_0322000",928644,929159
"PF3D7_0322100",930640,932415
"PF3D7_0322200",933188,937006
"PF3D7_0322300",938212,940173
"PF3D7_0322400",942545,945301
"PF3D7_0322500",945537,946751
"PF3D7_0322600",948374,952693
"PF3D7_0322700",952964,962367
"PF3D7_0322800",964101,965203
"PF3D7_0322900",965553,966502
"PF3D7_0323000",968675,969202
"PF3D7_0323100",971166,975794
"PF3D7_0323200",976870,978195
"PF3D7_0323300",978970,980271
"PF3D7_0323400",980706,983966
"PF3D7_0323500",986265,987610
"PF3D7_0323600",988631,990882
"PF3D7_0323700",991544,993625
"PF3D7_0323800",998649,1001582
"PF3D7_0324000",1005952,1006800
"PF3D7_0324100",1007413,1008202
"PF3D7_0324200",1010342,1011140
"PF3D7_0324300",1012355,1013464
"PF3D7_0401500",89153,90184
"PF3D7_0401600",92418,94121
"PF3D7_0401700",100684,102110
"PF3D7_0401800",103078,106145
"PF3D7_0401900",108357,111662
"PF3D7_0402000",113655,116953
"PF3D7_0402100",123068,125848
"PF3D7_0402200",127712,134468
"PF3D7_0402300",137006,147177
"PF3D7_0402400",146710,149188
"PF3D7_0402500",155877,156984
"PF3D7_0402600",159279,160314
"PF3D7_0402700",162511,163724
"PF3D7_0402800",167245,171985
"PF3D7_0402900",172256,173440
"PF3D7_0403000",174829,174902
"PF3D7_0403100",175003,177360
"PF3D7_0403200",177783,181051
"PF3D7_0403300",180345,181808
"PF3D7_0403400",181969,194734
"PF3D7_0403500",195272,196988
"PF3D7_0403600",197685,202175
"PF3D7_0403700",205531,209494
"PF3D7_0403800",209977,216599
"PF3D7_0403900",218611,222971
"PF3D7_0404000",223010,224364
"PF3D7_0404100",224779,231733
"PF3D7_0404200",232342,233735
"PF3D7_0404300",233990,237708
"PF3D7_0404400",238360,239499
"PF3D7_0404500",240911,242347
"PF3D7_0404600",244986,260286
"PF3D7_0404700",259944,263782
"PF3D7_0404800",264062,266503
"PF3D7_0404900",266566,268913
"PF3D7_0405000",268919,271537
"PF3D7_0405100",271572,277979
"PF3D7_0405200",277684,281983
"PF3D7_0405300",282403,288297
"PF3D7_0405400",290361,301167
"PF3D7_0405500",301259,302267
"PF3D7_0405600",302892,305696
"PF3D7_0405700",305485,313556
"PF3D7_0405800",315105,315919
"PF3D7_0405900",315974,319564
"PF3D7_0406000",320299,322945
"PF3D7_0406100",322950,325688
"PF3D7_0406200",328473,330639
"PF3D7_0406400",331524,334219
"PF3D7_0406500",333546,345127
"PF3D7_0406600",346308,346727
"PF3D7_0406700",347345,352121
"PF3D7_0406800",351527,353137
"PF3D7_0406900",353655,359878
"PF3D7_0407000",360382,361906
"PF3D7_0407100",361974,364336
"PF3D7_0407200",363313,365044
"PF3D7_0407300",365916,367353
"PF3D7_0407400",367527,368741
"PF3D7_0407500",369885,371270
"PF3D7_0407600",373039,376677
"PF3D7_0407700",376962,383799
"PF3D7_0407800",384240,391362
"PF3D7_0407900",390866,394044
"PF3D7_0408000",394047,394714
"PF3D7_0408100",396410,401290
"PF3D7_0408200",401320,403441
"PF3D7_0408300",403032,405486
"PF3D7_0408400",405513,408243
"PF3D7_0408500",408485,411102
"PF3D7_0408600",413403,416357
"PF3D7_0408700",417372,420824
"PF3D7_0408800",422011,422958
"PF3D7_0408900",424078,427891
"PF3D7_0409000",427283,435517
"PF3D7_0409100",435640,438373
"PF3D7_0409200",438826,440791
"PF3D7_0409300",440536,445079
"PF3D7_0409400",445327,448141
"PF3D7_0409500",448569,450669
"PF3D7_0409600",451590,456137
"PF3D7_0409700",456470,458157
"PF3D7_0409800",458379,462772
"PF3D7_0409900",461577,464007
"PF3D7_0410000",464039,468171
"PF3D7_0410100",469218,469299
"PF3D7_0410200",469858,469930
"PF3D7_0410300",470021,473920
"PF3D7_0410400",474132,475694
"PF3D7_0410500",475944,476585
"PF3D7_0410600",478964,481141
"PF3D7_0410700",480653,485264
"PF3D7_0410800",484937,489959
"PF3D7_0410900",490388,494260
"PF3D7_0411000",498831,503922
"PF3D7_0411100",504413,505095
"PF3D7_0411200",505544,509792
"PF3D7_0411300",510180,512923
"PF3D7_0411400",513083,517579
"PF3D7_0411500",517722,517793
"PF3D7_0411600",518154,518225
"PF3D7_0411700",518685,519101
"PF3D7_0411800",519261,526401
"PF3D7_0411900",527408,535614
"PF3D7_0412000",536310,540069
"PF3D7_0412100",539768,541690
"PF3D7_0412200",541759,543070
"PF3D7_0412300",543378,545746
"PF3D7_0413200",603166,604456
"PF3D7_0413300",609155,610433
"PF3D7_0413500",615161,616685
"PF3D7_0413600",616407,618468
"PF3D7_0413700",619189,621405
"PF3D7_0413800",621595,622959
"PF3D7_0413900",622894,626416
"PF3D7_0414000",626435,633382
"PF3D7_0414100",633501,639156
"PF3D7_0414200",646996,648777
"PF3D7_0414300",649273,650954
"PF3D7_0414400",652350,653554
"PF3D7_0414500",654179,657778
"PF3D7_0414600",658117,659834
"PF3D7_0414700",660048,663084
"PF3D7_0414800",663115,664901
"PF3D7_0414900",665765,668508
"PF3D7_0415000",668291,669784
"PF3D7_0415100",670824,672750
"PF3D7_0415200",672035,679718
"PF3D7_0415300",681263,686296
"PF3D7_0415400",686017,687474
"PF3D7_0415500",688057,689439
"PF3D7_0415600",689248,690639
"PF3D7_0415700",690721,692635
"PF3D7_0415800",693250,696792
"PF3D7_0415900",697475,700443
"PF3D7_0416000",700633,705339
"PF3D7_0416100",706094,709615
"PF3D7_0416200",708854,710099
"PF3D7_0416300",710117,715849
"PF3D7_0416400",717422,723139
"PF3D7_0416500",722433,724446
"PF3D7_0416600",724910,727410
"PF3D7_0416700",727456,728891
"PF3D7_0416800",729587,731615
"PF3D7_0416900",732052,740562
"PF3D7_0417000",741816,743452
"PF3D7_0417100",743611,745637
"PF3D7_0417200",747897,750065
"PF3D7_0417300",750307,753786
"PF3D7_0417400",755176,777060
"PF3D7_0417500",776801,779987
"PF3D7_0417600",780243,783375
"PF3D7_0417700",784194,786430
"PF3D7_0417800",786700,790000
"PF3D7_0417900",790709,793086
"PF3D7_0418000",793749,810923
"PF3D7_0418100",810171,815760
"PF3D7_0418200",816141,818999
"PF3D7_0418300",819175,826740
"PF3D7_0418400",829728,830676
"PF3D7_0418500",830766,832555
"PF3D7_0418600",833620,840678
"PF3D7_0418700",840757,843217
"PF3D7_0418800",843562,845169
"PF3D7_0418900",846888,849541
"PF3D7_0419000",849793,852242
"PF3D7_0419100",852453,854447
"PF3D7_0419200",854493,855667
"PF3D7_0419300",854488,857207
"PF3D7_0419400",857875,866312
"PF3D7_0419500",866388,869784
"PF3D7_0419600",869788,872102
"PF3D7_0419700",872600,875321
"PF3D7_0419800",874705,876464
"PF3D7_0419900",876213,894383
"PF3D7_0420000",893948,906047
"PF3D7_0420100",906263,909398
"PF3D7_0420200",909409,912119
"PF3D7_0420300",915895,928649
"PF3D7_0420400",929219,930280
"PF3D7_0420500",930314,931842
"PF3D7_0420600",932373,934499
"PF3D7_0421400",979914,980048
"PF3D7_0421500",981823,982990
"PF3D7_0421700",987842,994360
"PF3D7_0421800",995998,996252
"PF3D7_0421900",997240,997455
"PF3D7_0422000",997886,1000908
"PF3D7_0422100",1001207,1003506
"PF3D7_0422200",1003768,1018837
"PF3D7_0422300",1020961,1025057
"PF3D7_0422400",1025510,1027735
"PF3D7_0422500",1029062,1038336
"PF3D7_0422600",1038409,1039295
"PF3D7_0422700",1039634,1041812
"PF3D7_0422800",1042564,1044896
"PF3D7_0422900",1045301,1046988
"PF3D7_0423000",1047470,1048843
"PF3D7_0423100",1048879,1050294
"PF3D7_0423200",1050249,1051258
"PF3D7_0423300",1051095,1053352
"PF3D7_0423400",1055314,1056674
"PF3D7_0423500",1058888,1061603
"PF3D7_0423600",1061719,1067023
"PF3D7_0423700",1069829,1072039
"PF3D7_0423800",1075910,1077829
"PF3D7_0423900",1077575,1078515
"PF3D7_0424000",1080176,1082321
"PF3D7_0424100",1082005,1084464
"PF3D7_0424200",1085641,1091369
"PF3D7_0424300",1093138,1097835
"PF3D7_0424400",1099303,1107445
"PF3D7_0424500",1108275,1112724
"PF3D7_0424600",1112736,1117250
"PF3D7_0424700",1115896,1123289
"PF3D7_0424800",1123975,1125348
"PF3D7_0424900",1127257,1129353
"PF3D7_0425000",1129660,1130893
"PF3D7_0425050",1133232,1133681
"PF3D7_0425100",1134415,1135394
"PF3D7_0425200",1136443,1137793
"PF3D7_0425250",1138009,1138559
"PF3D7_0425300",1141222,1142096
"PF3D7_0425400",1143992,1144824
"PF3D7_0500600",39443,40488
"PF3D7_0500700",41129,41403
"PF3D7_0500800",42114,48258
"PF3D7_0500900",50081,52576
"PF3D7_0501000",55122,57159
"PF3D7_0501100",57729,62476
"PF3D7_0501200",63225,66292
"PF3D7_0501300",67224,70944
"PF3D7_0501400",73163,80813
"PF3D7_0501500",80570,82763
"PF3D7_0501600",83760,85512
"PF3D7_0501700",86820,89201
"PF3D7_0501800",90735,95257
"PF3D7_0501900",94808,97116
"PF3D7_0502000",97199,102279
"PF3D7_0502100",101346,103488
"PF3D7_0502200",104000,106727
"PF3D7_0502300",106583,108202
